pay_month,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 
201710,0.000016673 ,0.001268885 ,0.004155959 ,0.007174692 ,0.009923730 ,0.011055142 ,0.011773728 ,0.012480903 ,0.013223085 ,0.013857987 ,0.014276378 ,0.014408178 ,0.014354892 ,0.014203051 ,0.014069432 ,0.013961518 ,0.013858384 ,0.013751631 ,0.013673153 ,0.013580144 
201711,0.000063058 ,0.002773080 ,0.006470731 ,0.009556401 ,0.010934738 ,0.011955128 ,0.012889724 ,0.013716364 ,0.014512991 ,0.015193622 ,0.015492586 ,0.015541448 ,0.015465087 ,0.015309343 ,0.015191835 ,0.015054108 ,0.014943681 ,0.014852551 ,0.014781637 ,0.014714952 
201712,0.000041139 ,0.001239370 ,0.003058608 ,0.004108649 ,0.005034821 ,0.006015498 ,0.006996884 ,0.007860544 ,0.008618933 ,0.009089184 ,0.009335938 ,0.009420626 ,0.009374633 ,0.009266583 ,0.009139870 ,0.009046080 ,0.008968341 ,0.008888320 ,0.008830703 ,0.008770018 
201801,0.000035269 ,0.001423235 ,0.002608823 ,0.003718765 ,0.004887114 ,0.006095108 ,0.007265622 ,0.008234606 ,0.008942849 ,0.009385740 ,0.009568951 ,0.009720926 ,0.009722293 ,0.009557032 ,0.009410056 ,0.009322524 ,0.009253300 ,0.009177337 ,0.009129879 ,0.009088736 
201802,0.000039865 ,0.000942250 ,0.002188765 ,0.003438074 ,0.004854885 ,0.006340638 ,0.007587814 ,0.008510909 ,0.009153874 ,0.009544606 ,0.009853834 ,0.010064600 ,0.010055685 ,0.009938884 ,0.009838231 ,0.009774799 ,0.009700433 ,0.009642050 ,0.009614879 ,0.009566458 
201803,0.000021740 ,0.000944945 ,0.002230733 ,0.003813669 ,0.005520946 ,0.006994969 ,0.008146654 ,0.009015467 ,0.009517217 ,0.009977618 ,0.010350069 ,0.010483790 ,0.010404041 ,0.010299633 ,0.010209804 ,0.010148751 ,0.010081054 ,0.010036466 ,0.009994312 ,0.009949934 
201804,0.000042138 ,0.000910275 ,0.002404229 ,0.004016152 ,0.005542057 ,0.006922588 ,0.007997780 ,0.008600242 ,0.009143697 ,0.009676023 ,0.009934742 ,0.009979661 ,0.009949383 ,0.009856224 ,0.009772870 ,0.009689415 ,0.009635516 ,0.009592765 ,0.009545687 ,0.009510432 
201805,0.000025110 ,0.001279248 ,0.003231270 ,0.005199816 ,0.007198403 ,0.008589069 ,0.009572956 ,0.010468255 ,0.011370864 ,0.011901949 ,0.012115779 ,0.012308158 ,0.012315864 ,0.012193787 ,0.012048524 ,0.011973763 ,0.011915916 ,0.011846532 ,0.011811000 ,0.011764035 
201806,0.000041442 ,0.001680022 ,0.003893160 ,0.005820071 ,0.007518916 ,0.008689222 ,0.009853277 ,0.010877931 ,0.011488572 ,0.011887784 ,0.012203776 ,0.012352752 ,0.012378468 ,0.012240489 ,0.012132330 ,0.012066874 ,0.012012704 ,0.011964561 ,0.011893975 ,0.011874812 
201807,0.000049897 ,0.002142415 ,0.004545138 ,0.006496654 ,0.007936851 ,0.009481351 ,0.010921342 ,0.011840623 ,0.012323732 ,0.012896868 ,0.013269295 ,0.013455253 ,0.013441406 ,0.013356252 ,0.013250447 ,0.013180772 ,0.013115769 ,0.013036758 ,0.013018239 ,0.012972292 
201808,0.000029140 ,0.002134176 ,0.004520976 ,0.006155907 ,0.008111306 ,0.009971080 ,0.011177443 ,0.011942733 ,0.012773502 ,0.013364321 ,0.013757772 ,0.013924599 ,0.014004859 ,0.013913414 ,0.013820711 ,0.013743181 ,0.013684108 ,0.013649709 ,0.013608037 ,0.013569391 
201809,0.000051042 ,0.001870345 ,0.003677285 ,0.005852535 ,0.008082597 ,0.009679922 ,0.010714619 ,0.011879234 ,0.012713996 ,0.013381333 ,0.013829254 ,0.014192765 ,0.014387916 ,0.014322405 ,0.014211997 ,0.014136752 ,0.014106689 ,0.014056305 ,0.014005311 ,0.013947093 
201810,0.000042908 ,0.001339216 ,0.003611836 ,0.005961931 ,0.007664189 ,0.008843699 ,0.010172031 ,0.011238104 ,0.012103362 ,0.012803337 ,0.013490197 ,0.014054296 ,0.014397632 ,0.014437701 ,0.014304379 ,0.014273511 ,0.014208994 ,0.014154221 ,0.014085644 ,0.014019381 
201811,0.000069112 ,0.002283005 ,0.004912503 ,0.007012656 ,0.008488500 ,0.010208564 ,0.011826532 ,0.013094407 ,0.014188362 ,0.015361477 ,0.016527290 ,0.017179849 ,0.018050077 ,0.017855383 ,0.017801651 ,0.017703157 ,0.017580881 ,0.017482553 ,0.017403238 ,0.017305234 
201812,0.000048764 ,0.001890278 ,0.004067338 ,0.005631581 ,0.007387486 ,0.008927155 ,0.010268431 ,0.011401182 ,0.012710485 ,0.014036119 ,0.014770639 ,0.015270049 ,0.015645986 ,0.015684076 ,0.015545545 ,0.015420270 ,0.015324915 ,0.015237450 ,0.015147300 ,
201901,0.000078505 ,0.001831489 ,0.003563850 ,0.005549462 ,0.007326478 ,0.009164201 ,0.010836725 ,0.012574958 ,0.014483478 ,0.015665963 ,0.016409252 ,0.016945030 ,0.017762131 ,0.017739715 ,0.017551035 ,0.017441447 ,0.017346651 ,0.017235341 ,,
201902,0.000064058 ,0.001553160 ,0.003869545 ,0.005803655 ,0.007954391 ,0.010048300 ,0.012527991 ,0.015031166 ,0.016546070 ,0.017768047 ,0.018556427 ,0.019504226 ,0.020302936 ,0.020125014 ,0.019931619 ,0.019786100 ,0.019586166 ,,,
201903,0.000068325 ,0.002112153 ,0.004448891 ,0.006765410 ,0.008975561 ,0.011692119 ,0.014626866 ,0.016434180 ,0.017817166 ,0.018739256 ,0.019938726 ,0.021017069 ,0.021308053 ,0.021099591 ,0.020895297 ,0.020677877 ,,,,
201904,0.000076090 ,0.002096127 ,0.004422739 ,0.006915717 ,0.009983037 ,0.013320205 ,0.015490264 ,0.017031519 ,0.018262996 ,0.019882529 ,0.021317598 ,0.021727503 ,0.022050556 ,0.021878343 ,0.021624838 ,,,,,
201905,0.000078084 ,0.002774422 ,0.005719624 ,0.009409286 ,0.013570782 ,0.016562912 ,0.018786147 ,0.020436974 ,0.022660828 ,0.024890534 ,0.025637817 ,0.026130083 ,0.026513495 ,0.026213135 ,,,,,,
201906,0.000100232 ,0.002792844 ,0.006991768 ,0.011817723 ,0.015322587 ,0.018131995 ,0.020489213 ,0.023368522 ,0.026316587 ,0.027545816 ,0.028334332 ,0.028739565 ,0.028910575 ,,,,,,,
201907,0.000087076 ,0.002869793 ,0.007282844 ,0.010595352 ,0.013567352 ,0.016138405 ,0.019461682 ,0.022841444 ,0.024481704 ,0.025736755 ,0.026514042 ,0.026891886 ,,,,,,,,
201908,0.000084562 ,0.002391535 ,0.005019779 ,0.007441409 ,0.009913224 ,0.013161087 ,0.017140137 ,0.019285386 ,0.020917980 ,0.022216623 ,0.022898657 ,,,,,,,,,
201909,0.000052813 ,0.001748685 ,0.004120599 ,0.006393755 ,0.009634096 ,0.013597566 ,0.015942495 ,0.017880112 ,0.019336457 ,0.020298331 ,,,,,,,,,,
201910,0.000075165 ,0.002739044 ,0.006095954 ,0.010223189 ,0.015436048 ,0.018648147 ,0.021392365 ,0.023526136 ,0.024903100 ,,,,,,,,,,,
201911,0.000076559 ,0.002518225 ,0.006334604 ,0.011320817 ,0.014728584 ,0.017724081 ,0.020128487 ,0.021761810 ,,,,,,,,,,,,
201912,0.000127065 ,0.004109843 ,0.010214260 ,0.014136113 ,0.017896785 ,0.020809894 ,0.023047394 ,,,,,,,,,,,,,
202001,0.000199522 ,0.006941340 ,0.012091571 ,0.016947019 ,0.020994449 ,0.023872928 ,,,,,,,,,,,,,,
202002,0.000254345 ,0.005733511 ,0.011286382 ,0.015877511 ,0.019128589 ,,,,,,,,,,,,,,,
202003,0.000271031 ,0.005247819 ,0.010384915 ,0.014132830 ,,,,,,,,,,,,,,,,
202004,0.000197274 ,0.004570689 ,0.009021392 ,,,,,,,,,,,,,,,,,
202005,0.000155553 ,0.004424452 ,,,,,,,,,,,,,,,,,,
202006,0.000191168 ,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
